player_name,team,matches,minutes,tackles,interceptions,clearances,total_passes,completed_passes,pass_completion_pct,player,progressive_passes,tackles_p90,interceptions_p90,clearances_p90,progressive_passes_p90
Abdülkerim Bardakcı,Turkey,4,360,6,3,15,216,186,86.11111111111111,Abdülkerim Bardakcı,32,1.5,0.75,3.75,8.0
Alessandro Bastoni,Italy,4,360,5,2,15,335,309,92.23880597014926,Alessandro Bastoni,48,1.25,0.5,3.75,12.0
Andreas Christensen,Denmark,4,360,4,6,9,234,221,94.44444444444444,Andreas Christensen,14,1.0,1.5,2.25,3.5
Andrei Burcă Andonie,Romania,4,360,6,0,18,148,113,76.35135135135135,Andrei Burcă Andonie,36,1.5,0.0,4.5,9.0
Antonio Rüdiger,Germany,5,450,5,4,17,409,373,91.19804400977995,Antonio Rüdiger,58,1.0,0.8,3.4,11.6
Arlind Afrim Ajeti,Albania,3,270,1,7,11,107,90,84.11214953271028,Arlind Afrim Ajeti,20,0.33333333333333337,2.3333333333333335,3.666666666666667,6.666666666666666
Aymeric Laporte,Spain,6,540,4,4,27,489,456,93.25153374233128,Aymeric Laporte,52,0.6666666666666667,0.6666666666666667,4.5,8.666666666666666
Berat Djimsiti,Albania,3,270,1,2,16,143,129,90.20979020979021,Berat Djimsiti,17,0.33333333333333337,0.6666666666666667,5.333333333333334,5.666666666666666
Dayotchanculle Upamecano,France,6,540,9,8,21,363,335,92.28650137741047,Dayotchanculle Upamecano,44,1.5,1.3333333333333335,3.5,7.333333333333334
Denis Vavro,Slovakia,4,360,4,2,15,263,211,80.22813688212928,Denis Vavro,62,1.0,0.5,3.75,15.5
Fabian Lukas Schär,Switzerland,5,450,9,8,23,256,206,80.46875,Fabian Lukas Schär,64,1.8,1.6,4.6000000000000005,12.8
Giorgi Gvelesiani,Georgia,3,270,3,1,11,40,26,65.0,Giorgi Gvelesiani,9,1.0,0.33333333333333337,3.666666666666667,3.0
Grant Campbell Hanley,Scotland,3,270,2,2,12,137,114,83.21167883211679,Grant Campbell Hanley,15,0.6666666666666667,0.6666666666666667,4.0,5.0
Guram Kashia,Georgia,4,360,5,3,28,118,101,85.59322033898306,Guram Kashia,25,1.25,0.75,7.0,6.25
Illia Zabarnyi,Ukraine,3,270,3,3,8,200,173,86.5,Illia Zabarnyi,46,1.0,1.0,2.666666666666667,15.333333333333332
Jack Hendry,Scotland,3,270,2,3,11,129,105,81.3953488372093,Jack Hendry,25,0.6666666666666667,1.0,3.666666666666667,8.333333333333332
Jaka Bijol,Slovenia,4,360,13,5,32,137,110,80.2919708029197,Jaka Bijol,35,3.2499999999999996,1.25,8.0,8.75
Jakub Piotr Kiwior,Poland,3,270,9,4,7,150,128,85.33333333333334,Jakub Piotr Kiwior,29,3.0,1.3333333333333335,2.3333333333333335,9.666666666666666
Jan Bednarek,Poland,3,270,3,3,10,103,90,87.37864077669903,Jan Bednarek,11,1.0,1.0,3.333333333333333,3.666666666666667
Jan Vertonghen,Belgium,3,270,4,1,7,208,194,93.26923076923077,Jan Vertonghen,25,1.3333333333333335,0.33333333333333337,2.3333333333333335,8.333333333333332
Jannik Vestergaard,Denmark,4,360,3,1,18,266,246,92.4812030075188,Jannik Vestergaard,24,0.75,0.25,4.5,6.0
Joachim Andersen,Denmark,4,360,7,1,12,294,252,85.71428571428571,Joachim Andersen,52,1.75,0.25,3.0,12.999999999999998
John Stones,England,7,630,3,0,24,558,524,93.9068100358423,John Stones,55,0.4285714285714286,0.0,3.428571428571429,7.857142857142857
Jonathan Tah,Germany,4,360,3,4,8,277,263,94.94584837545126,Jonathan Tah,14,0.75,1.0,2.0,3.5
Josip Šutalo,Croatia,3,270,3,12,8,199,189,94.9748743718593,Josip Šutalo,9,1.0,4.0,2.666666666666667,3.0
